question_id,concept,sub_concept
Q0001,Fractions,denominator_handling
Q0002,Fractions,denominator_handling
Q0003,Fractions,denominator_handling
Q0004,Fractions,denominator_handling
Q0005,Fractions,denominator_handling
Q0006,Fractions,denominator_handling
Q0007,Fractions,denominator_handling
Q0008,Fractions,denominator_handling
Q0009,Fractions,denominator_handling
Q0010,Fractions,simplification
Q0011,Fractions,simplification
Q0012,Fractions,simplification
Q0013,Fractions,simplification
Q0014,Fractions,simplification
Q0015,Fractions,simplification
Q0016,Fractions,simplification
Q0017,Fractions,simplification
Q0018,Fractions,simplification
Q0019,Fractions,addition
Q0020,Fractions,addition
Q0021,Fractions,addition
Q0022,Fractions,addition
Q0023,Fractions,addition
Q0024,Fractions,addition
Q0025,Fractions,addition
Q0026,Fractions,addition
Q0027,Fractions,addition
Q0028,Fractions,subtraction
Q0029,Fractions,subtraction
Q0030,Fractions,subtraction
Q0031,Fractions,subtraction
Q0032,Fractions,subtraction
Q0033,Fractions,subtraction
Q0034,Fractions,multiplication
Q0035,Fractions,multiplication
Q0036,Fractions,multiplication
Q0037,Fractions,multiplication
Q0038,Fractions,multiplication
Q0039,Fractions,multiplication
Q0040,Fractions,comparison
Q0041,Fractions,comparison
Q0042,Fractions,comparison
Q0043,Fractions,comparison
Q0044,Fractions,comparison
Q0045,Fractions,comparison
Q0046,Decimals,place_value
Q0047,Decimals,place_value
Q0048,Decimals,place_value
Q0049,Decimals,place_value
Q0050,Decimals,place_value
Q0051,Decimals,place_value
Q0052,Decimals,place_value
Q0053,Decimals,place_value
Q0054,Decimals,place_value
Q0055,Decimals,addition_subtraction
Q0056,Decimals,addition_subtraction
Q0057,Decimals,addition_subtraction
Q0058,Decimals,addition_subtraction
Q0059,Decimals,addition_subtraction
Q0060,Decimals,addition_subtraction
Q0061,Decimals,addition_subtraction
Q0062,Decimals,addition_subtraction
Q0063,Decimals,addition_subtraction
Q0064,Decimals,multiplication
Q0065,Decimals,multiplication
Q0066,Decimals,multiplication
Q0067,Decimals,multiplication
Q0068,Decimals,multiplication
Q0069,Decimals,multiplication
Q0070,Decimals,division
Q0071,Decimals,division
Q0072,Decimals,division
Q0073,Decimals,division
Q0074,Decimals,division
Q0075,Decimals,division
Q0076,Algebra,patterns
Q0077,Algebra,patterns
Q0078,Algebra,patterns
Q0079,Algebra,patterns
Q0080,Algebra,patterns
Q0081,Algebra,patterns
Q0082,Algebra,patterns
Q0083,Algebra,patterns
Q0084,Algebra,patterns
Q0085,Algebra,variables
Q0086,Algebra,variables
Q0087,Algebra,variables
Q0088,Algebra,variables
Q0089,Algebra,variables
Q0090,Algebra,variables
Q0091,Algebra,variables
Q0092,Algebra,variables
Q0093,Algebra,variables
Q0094,Algebra,equations
Q0095,Algebra,equations
Q0096,Algebra,equations
Q0097,Algebra,equations
Q0098,Algebra,equations
Q0099,Algebra,equations
Q0100,Algebra,equations
Q0101,Algebra,equations
Q0102,Algebra,equations
Q0103,Algebra,sign_rules
Q0104,Algebra,sign_rules
Q0105,Algebra,sign_rules
Q0106,Algebra,sign_rules
Q0107,Algebra,sign_rules
Q0108,Algebra,sign_rules
Q0109,Geometry,2d_shapes
Q0110,Geometry,2d_shapes
Q0111,Geometry,2d_shapes
Q0112,Geometry,2d_shapes
Q0113,Geometry,2d_shapes
Q0114,Geometry,2d_shapes
Q0115,Geometry,2d_shapes
Q0116,Geometry,2d_shapes
Q0117,Geometry,2d_shapes
Q0118,Geometry,3d_shapes
Q0119,Geometry,3d_shapes
Q0120,Geometry,3d_shapes
Q0121,Geometry,3d_shapes
Q0122,Geometry,3d_shapes
Q0123,Geometry,3d_shapes
Q0124,Geometry,area_perimeter
Q0125,Geometry,area_perimeter
Q0126,Geometry,area_perimeter
Q0127,Geometry,area_perimeter
Q0128,Geometry,area_perimeter
Q0129,Geometry,area_perimeter
Q0130,Geometry,area_perimeter
Q0131,Geometry,area_perimeter
Q0132,Geometry,area_perimeter
Q0133,Geometry,angles
Q0134,Geometry,angles
Q0135,Geometry,angles
Q0136,Geometry,angles
Q0137,Geometry,angles
Q0138,Geometry,angles
Q0139,Geometry,symmetry
Q0140,Geometry,symmetry
Q0141,Geometry,symmetry
Q0142,Geometry,symmetry
Q0143,Geometry,symmetry
Q0144,Geometry,symmetry
Q0145,Measurement,length
Q0146,Measurement,length
Q0147,Measurement,length
Q0148,Measurement,length
Q0149,Measurement,length
Q0150,Measurement,length
Q0151,Measurement,length
Q0152,Measurement,length
Q0153,Measurement,length
Q0154,Measurement,weight
Q0155,Measurement,weight
Q0156,Measurement,weight
Q0157,Measurement,weight
Q0158,Measurement,weight
Q0159,Measurement,weight
Q0160,Measurement,capacity
Q0161,Measurement,capacity
Q0162,Measurement,capacity
Q0163,Measurement,capacity
Q0164,Measurement,capacity
Q0165,Measurement,capacity
Q0166,Measurement,time
Q0167,Measurement,time
Q0168,Measurement,time
Q0169,Measurement,time
Q0170,Measurement,time
Q0171,Measurement,time
Q0172,Data_Handling,tables
Q0173,Data_Handling,tables
Q0174,Data_Handling,tables
Q0175,Data_Handling,tables
Q0176,Data_Handling,tables
Q0177,Data_Handling,tables
Q0178,Data_Handling,bar_graphs
Q0179,Data_Handling,bar_graphs
Q0180,Data_Handling,bar_graphs
Q0181,Data_Handling,bar_graphs
Q0182,Data_Handling,bar_graphs
Q0183,Data_Handling,bar_graphs
Q0184,Data_Handling,pictographs
Q0185,Data_Handling,pictographs
Q0186,Data_Handling,pictographs
Q0187,Data_Handling,pictographs
Q0188,Data_Handling,pictographs
Q0189,Data_Handling,pictographs
