question_id,text,concept,sub_concept,difficulty,expected_answer
Q0001,Add 1/2 + 3/7,Fractions,denominator_handling,1,varies
Q0002,Compare 2/3 and 2/3,Fractions,denominator_handling,1,varies
Q0003,Subtract 3/7 - 1/3,Fractions,denominator_handling,1,varies
Q0004,Simplify 1/3,Fractions,denominator_handling,2,varies
Q0005,Find equivalent fraction of {frac1} with denominator 3,Fractions,denominator_handling,2,varies
Q0006,Subtract 2/3 - 1/6,Fractions,denominator_handling,2,varies
Q0007,Simplify 1/2,Fractions,denominator_handling,3,varies
Q0008,Subtract 3/7 - 2/7,Fractions,denominator_handling,3,varies
Q0009,Simplify 3/5,Fractions,denominator_handling,3,varies
Q0010,Reduce 5/6,Fractions,simplification,1,varies
Q0011,Simplify 4/7 to lowest terms,Fractions,simplification,1,varies
Q0012,Simplify 3/7 to lowest terms,Fractions,simplification,1,varies
Q0013,Reduce 3/4,Fractions,simplification,2,varies
Q0014,Simplify 4/7 to lowest terms,Fractions,simplification,2,varies
Q0015,Simplify 1/3 to lowest terms,Fractions,simplification,2,varies
Q0016,Simplify 2/5 to lowest terms,Fractions,simplification,3,varies
Q0017,Reduce 5/6,Fractions,simplification,3,varies
Q0018,Simplify 3/7 to lowest terms,Fractions,simplification,3,varies
Q0019,Add 6/7 + 3/5,Fractions,addition,1,varies
Q0020,Add 1/6 + 3/4,Fractions,addition,1,varies
Q0021,Find the sum: 5/6 + 2/3,Fractions,addition,1,varies
Q0022,Add 1/2 + 2/7,Fractions,addition,2,varies
Q0023,Add 4/7 + 3/4,Fractions,addition,2,varies
Q0024,Add 5/7 + 2/3,Fractions,addition,2,varies
Q0025,Add 3/5 + 3/4,Fractions,addition,3,varies
Q0026,Find the sum: 2/7 + 5/7,Fractions,addition,3,varies
Q0027,Find the sum: 1/4 + 2/5,Fractions,addition,3,varies
Q0028,Find the difference: 2/3 - 2/7,Fractions,subtraction,1,varies
Q0029,Find the difference: 3/7 - 6/7,Fractions,subtraction,1,varies
Q0030,Subtract 5/6 - 2/7,Fractions,subtraction,2,varies
Q0031,Subtract 1/6 - 3/7,Fractions,subtraction,2,varies
Q0032,Subtract 1/4 - 4/5,Fractions,subtraction,3,varies
Q0033,Find the difference: 3/4 - 6/7,Fractions,subtraction,3,varies
Q0034,Multiply 2/7 × 2/5,Fractions,multiplication,1,varies
Q0035,Multiply 2/3 × 5/7,Fractions,multiplication,1,varies
Q0036,Multiply 4/7 × 2/5,Fractions,multiplication,2,varies
Q0037,Find the product: 3/4 × 1/3,Fractions,multiplication,2,varies
Q0038,Multiply 6/7 × 5/6,Fractions,multiplication,3,varies
Q0039,Find the product: 2/3 × 2/7,Fractions,multiplication,3,varies
Q0040,"Compare 3/5 and 6/7 using <, >, or =",Fractions,comparison,1,varies
Q0041,"Compare 1/4 and 3/4 using <, >, or =",Fractions,comparison,1,varies
Q0042,Which is greater: 2/3 or 3/7?,Fractions,comparison,2,varies
Q0043,"Compare 3/7 and 5/6 using <, >, or =",Fractions,comparison,2,varies
Q0044,"Compare 6/7 and 5/6 using <, >, or =",Fractions,comparison,3,varies
Q0045,"Compare 2/5 and 2/3 using <, >, or =",Fractions,comparison,3,varies
Q0046,What is the place value of 0 in 0.7?,Decimals,place_value,1,varies
Q0047,What is the place value of 6 in 0.75?,Decimals,place_value,1,varies
Q0048,Identify the tenths/hundredths digit in 0.25,Decimals,place_value,1,varies
Q0049,Write 0.7 in expanded form,Decimals,place_value,2,varies
Q0050,What is the place value of 8 in 0.9?,Decimals,place_value,2,varies
Q0051,Write 2.5 in expanded form,Decimals,place_value,2,varies
Q0052,What is the place value of 7 in 0.2?,Decimals,place_value,3,varies
Q0053,What is the place value of 4 in 1.5?,Decimals,place_value,3,varies
Q0054,Identify the tenths/hundredths digit in 2.5,Decimals,place_value,3,varies
Q0055,Subtract 0.9 - 0.7,Decimals,addition_subtraction,1,varies
Q0056,Add 0.3 + 2.5,Decimals,addition_subtraction,1,varies
Q0057,Add 2.5 + 0.375,Decimals,addition_subtraction,1,varies
Q0058,Add 0.3 + 0.6,Decimals,addition_subtraction,2,varies
Q0059,Add 0.375 + 0.3,Decimals,addition_subtraction,2,varies
Q0060,Subtract 0.5 - 0.1,Decimals,addition_subtraction,2,varies
Q0061,Add 1.5 + 0.6,Decimals,addition_subtraction,3,varies
Q0062,Add 0.7 + 2.5,Decimals,addition_subtraction,3,varies
Q0063,Add 0.9 + 0.6,Decimals,addition_subtraction,3,varies
Q0064,Multiply 0.7 × 0.125,Decimals,multiplication,1,varies
Q0065,Find 0.375 × 0.7,Decimals,multiplication,1,varies
Q0066,Multiply 0.2 × 0.4,Decimals,multiplication,2,varies
Q0067,Find 0.375 × 0.7,Decimals,multiplication,2,varies
Q0068,Find 0.1 × 0.1,Decimals,multiplication,3,varies
Q0069,Multiply 0.5 × 0.8,Decimals,multiplication,3,varies
Q0070,Divide 0.1 ÷ 0.5,Decimals,division,1,varies
Q0071,Divide 0.9 ÷ 0.5,Decimals,division,1,varies
Q0072,Divide 0.375 ÷ 0.5,Decimals,division,2,varies
Q0073,Find 0.7 ÷ 0.1,Decimals,division,2,varies
Q0074,Find 0.6 ÷ 0.1,Decimals,division,3,varies
Q0075,Divide 0.375 ÷ 0.375,Decimals,division,3,varies
Q0076,"What is the rule for this pattern: 5, 10, 15, 20, ??",Algebra,patterns,1,varies
Q0077,"Find the next term: 2, 4, 6, 8, ?",Algebra,patterns,1,varies
Q0078,"Find the next term: 1, 4, 9, 16, ?",Algebra,patterns,1,varies
Q0079,"Complete the pattern: 2, 4, 6, 8, ?",Algebra,patterns,2,varies
Q0080,"Complete the pattern: 5, 10, 15, 20, ?",Algebra,patterns,2,varies
Q0081,"Find the next term: 1, 4, 9, 16, ?",Algebra,patterns,2,varies
Q0082,"Find the next term: 1, 4, 9, 16, ?",Algebra,patterns,3,varies
Q0083,"Find the next term: 5, 10, 15, 20, ?",Algebra,patterns,3,varies
Q0084,"Complete the pattern: 5, 10, 15, 20, ?",Algebra,patterns,3,varies
Q0085,Write an expression for: 5 more than a number,Algebra,variables,1,varies
Q0086,"If x = 2, find the value of 3x",Algebra,variables,1,varies
Q0087,"If x = -3, find the value of x-5",Algebra,variables,1,varies
Q0088,"If x = 7, find the value of x/2",Algebra,variables,2,varies
Q0089,"If x = 3, find the value of x-5",Algebra,variables,2,varies
Q0090,Evaluate x-5 when x = 4,Algebra,variables,2,varies
Q0091,"If x = 4, find the value of x+7",Algebra,variables,3,varies
Q0092,"If x = -9, find the value of x+7",Algebra,variables,3,varies
Q0093,"If x = -8, find the value of x-5",Algebra,variables,3,varies
Q0094,Solve for x: x/2=4,Algebra,equations,1,varies
Q0095,Find x: x/2=4,Algebra,equations,1,varies
Q0096,Solve for x: x/2=4,Algebra,equations,1,varies
Q0097,Solve for x: x-5=10,Algebra,equations,2,varies
