question_id,concept,sub_concept
Q0001,Fractions,denominator_handling
Q0002,Fractions,denominator_handling
Q0003,Fractions,denominator_handling
Q0004,Fractions,denominator_handling
Q0005,Fractions,denominator_handling
Q0006,Fractions,denominator_handling
Q0007,Fractions,denominator_handling
Q0008,Fractions,denominator_handling
Q0009,Fractions,denominator_handling
Q0010,Fractions,simplification
Q0011,Fractions,simplification
Q0012,Fractions,simplification
Q0013,Fractions,simplification
Q0014,Fractions,simplification
Q0015,Fractions,simplification
Q0016,Fractions,simplification
Q0017,Fractions,simplification
Q0018,Fractions,simplification
Q0019,Decimals,place_value
Q0020,Decimals,place_value
Q0021,Decimals,place_value
Q0022,Decimals,place_value
Q0023,Decimals,place_value
Q0024,Decimals,place_value
Q0025,Decimals,place_value
Q0026,Decimals,place_value
Q0027,Decimals,place_value
Q0028,Algebra,patterns
Q0029,Algebra,patterns
Q0030,Algebra,patterns
Q0031,Algebra,patterns
Q0032,Algebra,patterns
Q0033,Algebra,patterns
Q0034,Algebra,patterns
Q0035,Algebra,patterns
Q0036,Algebra,patterns
Q0037,Geometry,2d_shapes
Q0038,Geometry,2d_shapes
Q0039,Geometry,2d_shapes
Q0040,Geometry,2d_shapes
Q0041,Geometry,2d_shapes
Q0042,Geometry,2d_shapes
Q0043,Geometry,2d_shapes
Q0044,Geometry,2d_shapes
Q0045,Geometry,2d_shapes
Q0046,Measurement,length
Q0047,Measurement,length
Q0048,Measurement,length
Q0049,Measurement,length
Q0050,Measurement,length
Q0051,Measurement,length
Q0052,Measurement,length
Q0053,Measurement,length
Q0054,Measurement,length
Q0055,Data_Handling,tables
Q0056,Data_Handling,tables
Q0057,Data_Handling,tables
Q0058,Data_Handling,tables
Q0059,Data_Handling,tables
Q0060,Data_Handling,tables
