response_id,student_id,assessment_id,question_id,student_answer,is_correct,error_type,created_at
R000001,Student_001,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000002,Student_001,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000003,Student_001,ASM001,Q0003,varies,True,,2025-08-05T00:00:00
R000004,Student_001,ASM001,Q0049,incorrect_careless,False,careless,2025-08-05T00:00:00
R000005,Student_001,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000006,Student_001,ASM001,Q0045,varies,True,,2025-08-05T00:00:00
R000007,Student_001,ASM001,Q0034,incorrect_conceptual,False,conceptual,2025-08-05T00:00:00
R000008,Student_001,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000009,Student_001,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000010,Student_001,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000011,Student_002,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000012,Student_002,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000013,Student_002,ASM001,Q0003,varies,True,,2025-08-05T00:00:00
R000014,Student_002,ASM001,Q0049,varies,True,,2025-08-05T00:00:00
R000015,Student_002,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000016,Student_002,ASM001,Q0045,incorrect_arithmetic,False,arithmetic,2025-08-05T00:00:00
R000017,Student_002,ASM001,Q0034,incorrect_careless,False,careless,2025-08-05T00:00:00
R000018,Student_002,ASM001,Q0036,incorrect_arithmetic,False,arithmetic,2025-08-05T00:00:00
R000019,Student_002,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000020,Student_002,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000021,Student_003,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000022,Student_003,ASM001,Q0042,incorrect_careless,False,careless,2025-08-05T00:00:00
R000023,Student_003,ASM001,Q0003,incorrect_denominator_handling,False,denominator_handling,2025-08-05T00:00:00
R000024,Student_003,ASM001,Q0049,incorrect_arithmetic,False,arithmetic,2025-08-05T00:00:00
R000025,Student_003,ASM001,Q0051,incorrect_unit_conversion,False,unit_conversion,2025-08-05T00:00:00
R000026,Student_003,ASM001,Q0045,incorrect_arithmetic,False,arithmetic,2025-08-05T00:00:00
R000027,Student_003,ASM001,Q0034,varies,True,,2025-08-05T00:00:00
R000028,Student_003,ASM001,Q0036,incorrect_arithmetic,False,arithmetic,2025-08-05T00:00:00
R000029,Student_003,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000030,Student_003,ASM001,Q0028,incorrect_careless,False,careless,2025-08-05T00:00:00
R000031,Student_004,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000032,Student_004,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000033,Student_004,ASM001,Q0003,varies,True,,2025-08-05T00:00:00
R000034,Student_004,ASM001,Q0049,incorrect_careless,False,careless,2025-08-05T00:00:00
R000035,Student_004,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000036,Student_004,ASM001,Q0045,incorrect_careless,False,careless,2025-08-05T00:00:00
R000037,Student_004,ASM001,Q0034,incorrect_conceptual,False,conceptual,2025-08-05T00:00:00
R000038,Student_004,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000039,Student_004,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000040,Student_004,ASM001,Q0028,varies,True,,2025-08-05T00:00:00
R000041,Student_005,ASM001,Q0040,varies,True,,2025-08-05T00:00:00
R000042,Student_005,ASM001,Q0042,varies,True,,2025-08-05T00:00:00
R000043,Student_005,ASM001,Q0003,varies,True,,2025-08-05T00:00:00
R000044,Student_005,ASM001,Q0049,varies,True,,2025-08-05T00:00:00
R000045,Student_005,ASM001,Q0051,varies,True,,2025-08-05T00:00:00
R000046,Student_005,ASM001,Q0045,varies,True,,2025-08-05T00:00:00
R000047,Student_005,ASM001,Q0034,varies,True,,2025-08-05T00:00:00
