student_id,grade,section
Student_001,5,B
Student_002,5,C
Student_003,5,D
Student_004,5,A
Student_005,5,B
Student_006,5,C
Student_007,5,D
Student_008,5,A
Student_009,5,B
Student_010,5,C
Student_011,5,D
Student_012,5,A
Student_013,5,B
Student_014,5,C
Student_015,5,D
Student_016,5,A
Student_017,5,B
Student_018,5,C
Student_019,5,D
Student_020,5,A
Student_021,5,B
Student_022,5,C
Student_023,5,D
Student_024,5,A
Student_025,5,B
Student_026,5,C
Student_027,5,D
Student_028,5,A
Student_029,5,B
Student_030,5,C
Student_031,5,D
Student_032,5,A
Student_033,5,B
Student_034,5,C
Student_035,5,D
Student_036,5,A
Student_037,5,B
Student_038,5,C
Student_039,5,D
Student_040,5,A
Student_041,5,B
Student_042,5,C
Student_043,5,D
Student_044,5,A
Student_045,5,B
Student_046,5,C
Student_047,5,D
Student_048,5,A
Student_049,5,B
Student_050,5,C
